file,class
wav_traindevel/2008/1/a12008s1.wav,2
wav_traindevel/2008/1/a12008s10.wav,2
wav_traindevel/2008/1/a12008s11.wav,2
wav_traindevel/2008/1/a12008s12.wav,2
wav_traindevel/2008/1/a12008s13.wav,2
wav_traindevel/2008/1/a12008s14.wav,2
wav_traindevel/2008/1/a12008s15.wav,2
wav_traindevel/2008/1/a12008s16.wav,2
wav_traindevel/2008/1/a12008s17.wav,2
wav_traindevel/2008/1/a12008s18.wav,2
wav_traindevel/2008/1/a12008s2.wav,2
wav_traindevel/2008/1/a12008s3.wav,2
wav_traindevel/2008/1/a12008s4.wav,2
wav_traindevel/2008/1/a12008s5.wav,2
wav_traindevel/2008/1/a12008s6.wav,2
wav_traindevel/2008/1/a12008s7.wav,2
wav_traindevel/2008/1/a12008s8.wav,2
wav_traindevel/2008/1/a12008s9.wav,2
wav_traindevel/2008/2/a12008s1.wav,2
wav_traindevel/2008/2/a12008s10.wav,2
wav_traindevel/2008/2/a12008s11.wav,2
wav_traindevel/2008/2/a12008s12.wav,2
wav_traindevel/2008/2/a12008s8.wav,2
wav_traindevel/2008/2/a12008s9.wav,2
wav_traindevel/2008/3/a12008s1.wav,2
wav_traindevel/2008/3/a12008s10.wav,2
wav_traindevel/2008/3/a12008s11.wav,2
wav_traindevel/2008/3/a12008s12.wav,2
wav_traindevel/2008/3/a12008s13.wav,2
wav_traindevel/2008/3/a12008s14.wav,2
wav_traindevel/2008/3/a12008s15.wav,2
wav_traindevel/2008/3/a12008s16.wav,2
wav_traindevel/2008/3/a12008s17.wav,2
wav_traindevel/2008/3/a12008s18.wav,2
wav_traindevel/2008/3/a12008s2.wav,2
wav_traindevel/2008/3/a12008s3.wav,2
wav_traindevel/2008/3/a12008s4.wav,2
wav_traindevel/2008/3/a12008s5.wav,2
wav_traindevel/2008/3/a12008s6.wav,2
wav_traindevel/2008/3/a12008s7.wav,2
wav_traindevel/2008/3/a12008s8.wav,2
wav_traindevel/2008/3/a12008s9.wav,2
wav_traindevel/2008/4/a12008s1.wav,2
wav_traindevel/2008/4/a12008s10.wav,2
wav_traindevel/2008/4/a12008s11.wav,2
wav_traindevel/2008/4/a12008s12.wav,2
wav_traindevel/2008/4/a12008s13.wav,2
wav_traindevel/2008/4/a12008s14.wav,2
wav_traindevel/2008/4/a12008s15.wav,2
wav_traindevel/2008/4/a12008s16.wav,2
wav_traindevel/2008/4/a12008s17.wav,2
wav_traindevel/2008/4/a12008s18.wav,2
wav_traindevel/2008/4/a12008s2.wav,2
wav_traindevel/2008/4/a12008s3.wav,2
wav_traindevel/2008/4/a12008s4.wav,2
wav_traindevel/2008/4/a12008s5.wav,2
wav_traindevel/2008/4/a12008s6.wav,2
wav_traindevel/2008/4/a12008s7.wav,2
wav_traindevel/2008/4/a12008s8.wav,2
wav_traindevel/2008/4/a12008s9.wav,2
wav_traindevel/2008/5/a12008s1.wav,2
wav_traindevel/2008/5/a12008s10.wav,2
wav_traindevel/2008/5/a12008s11.wav,2
wav_traindevel/2008/5/a12008s12.wav,2
wav_traindevel/2008/5/a12008s13.wav,2
wav_traindevel/2008/5/a12008s14.wav,2
wav_traindevel/2008/5/a12008s15.wav,2
wav_traindevel/2008/5/a12008s16.wav,2
wav_traindevel/2008/5/a12008s17.wav,2
wav_traindevel/2008/5/a12008s18.wav,2
wav_traindevel/2008/5/a12008s2.wav,2
wav_traindevel/2008/5/a12008s3.wav,2
wav_traindevel/2008/5/a12008s4.wav,2
wav_traindevel/2008/5/a12008s5.wav,2
wav_traindevel/2008/5/a12008s6.wav,2
wav_traindevel/2008/5/a12008s7.wav,2
wav_traindevel/2008/5/a12008s8.wav,2
wav_traindevel/2008/5/a12008s9.wav,2
wav_traindevel/2008/6/a12008s1.wav,2
wav_traindevel/2008/6/a12008s10.wav,2
wav_traindevel/2008/6/a12008s11.wav,2
wav_traindevel/2008/6/a12008s12.wav,2
wav_traindevel/2008/6/a12008s13.wav,2
wav_traindevel/2008/6/a12008s14.wav,2
wav_traindevel/2008/6/a12008s15.wav,2
